"","gen_id","plant_id","date","length","repetition","genotype","gtype","day"
"1","A","A01","2022-03-04",3.2497227,1,"LA0114","w",14
"115","A","A01","2022-03-08",3.2834945,1,"LA0114","w",18
"124","A","A01","2022-03-11",6.6705217,1,"LA0114","w",21
"131","A","A01","2022-03-15",12.767776,1,"LA0114","w",25
"2","A","A02","2022-03-04",4.103096,2,"LA0114","w",14
"25","A","A02","2022-03-08",8.16357852111143,2,"LA0114","w",18
"211","A","A02","2022-03-11",7.6645966,2,"LA0114","w",21
"217","A","A02","2022-03-15",7.332907,2,"LA0114","w",25
"3","A","A03","2022-03-04",4.3259907,3,"LA0114","w",14
"35","A","A03","2022-03-08",7.53014464788451,3,"LA0114","w",18
"311","A","A03","2022-03-11",14.412917,3,"LA0114","w",21
"317","A","A03","2022-03-15",26.03963,3,"LA0114","w",25
"4","A","A04","2022-03-04",3.1756372,4,"LA0114","w",14
"45","A","A04","2022-03-08",6.81475845835167,4,"LA0114","w",18
"411","A","A04","2022-03-11",11.089676,4,"LA0114","w",21
"417","A","A04","2022-03-15",20.106169,4,"LA0114","w",25
"5","A","A05","2022-03-04",3.7732773,5,"LA0114","w",14
"55","A","A05","2022-03-08",4.95377894401234,5,"LA0114","w",18
"510","A","A05","2022-03-11",7.563406,5,"LA0114","w",21
"515","A","A05","2022-03-15",14.581477,5,"LA0114","w",25
"6","A","A06","2022-03-04",3.3944626,6,"LA0114","w",14
"65","A","A06","2022-03-08",10.2734994189175,6,"LA0114","w",18
"610","A","A06","2022-03-11",17.478628,6,"LA0114","w",21
"615","A","A06","2022-03-15",30.526644,6,"LA0114","w",25
"7","A","A07","2022-03-04",3.6609757,7,"LA0114","w",14
"75","A","A07","2022-03-08",13.116988,7,"LA0114","w",18
"79","A","A07","2022-03-11",20.697096,7,"LA0114","w",21
"713","A","A07","2022-03-15",33.315983,7,"LA0114","w",25
"8","A","A08","2022-03-04",4.235395,8,"LA0114","w",14
"85","A","A08","2022-03-08",10.4479452085123,8,"LA0114","w",18
"88","A","A08","2022-03-11",16.7038,8,"LA0114","w",21
"811","A","A08","2022-03-15",27.060024,8,"LA0114","w",25
"9","A","A09","2022-03-04",3.6741707,9,"LA0114","w",14
"94","A","A09","2022-03-08",11.5777475859404,9,"LA0114","w",18
"96","A","A09","2022-03-11",18.886475,9,"LA0114","w",21
"98","A","A09","2022-03-15",23.860685,9,"LA0114","w",25
"10","A","A10","2022-03-04",4.5024123,10,"LA0114","w",14
"102","A","A10","2022-03-08",11.6515470558992,10,"LA0114","w",18
"104","A","A10","2022-03-11",18.018984,10,"LA0114","w",21
"106","A","A10","2022-03-15",25.337826,10,"LA0114","w",25
"11","A","A11","2022-03-04",6.372298,11,"LA0114","w",14
"116","A","A11","2022-03-08",7.30749873782984,11,"LA0114","w",18
"1111","A","A11","2022-03-11",9.40559,11,"LA0114","w",21
"1113","A","A11","2022-03-15",15.975821,11,"LA0114","w",25
"15","C","C01","2022-03-04",3.1110077,1,"LA1332","w",14
"117","C","C01","2022-03-08",9.20341761480751,1,"LA1332","w",18
"126","C","C01","2022-03-11",15.771222,1,"LA1332","w",21
"132","C","C01","2022-03-15",24.895496,1,"LA1332","w",25
"16","C","C02","2022-03-04",4.17265,2,"LA1332","w",14
"26","C","C02","2022-03-08",8.06367893160461,2,"LA1332","w",18
"212","C","C02","2022-03-11",17.00674,2,"LA1332","w",21
"218","C","C02","2022-03-15",20.070751,2,"LA1332","w",25
"17","C","C03","2022-03-04",2.6055214,3,"LA1332","w",14
"36","C","C03","2022-03-08",5.65857927940944,3,"LA1332","w",18
"312","C","C03","2022-03-11",9.027787,3,"LA1332","w",21
"318","C","C03","2022-03-15",15.507982,3,"LA1332","w",25
"18","C","C04","2022-03-04",4.952283,4,"LA1332","w",14
"46","C","C04","2022-03-08",7.35531451753814,4,"LA1332","w",18
"412","C","C04","2022-03-11",9.800077,4,"LA1332","w",21
"418","C","C04","2022-03-15",15.43402,4,"LA1332","w",25
"19","D","D01","2022-03-04",3.9952326,1,"LA1599","w",14
"118","D","D01","2022-03-08",11.5581035595534,1,"LA1599","w",18
"127","D","D01","2022-03-11",16.490204,1,"LA1599","w",21
"133","D","D01","2022-03-15",24.105297,1,"LA1599","w",25
"21","D","D02","2022-03-04",3.5391002,2,"LA1599","w",14
"27","D","D02","2022-03-08",9.64918586516176,2,"LA1599","w",18
"213","D","D02","2022-03-11",17.810068,2,"LA1599","w",21
"219","D","D02","2022-03-15",23.128242,2,"LA1599","w",25
"31","D","D03","2022-03-04",2.7833228,3,"LA1599","w",14
"37","D","D03","2022-03-08",9.83859664986576,3,"LA1599","w",18
"313","D","D03","2022-03-11",19.716885,3,"LA1599","w",21
"319","D","D03","2022-03-15",29.438501,3,"LA1599","w",25
"41","D","D04","2022-03-04",2.5041802,4,"LA1599","w",14
"47","D","D04","2022-03-08",9.37787487005761,4,"LA1599","w",18
"413","D","D04","2022-03-11",17.715942,4,"LA1599","w",21
"419","D","D04","2022-03-15",21.912807,4,"LA1599","w",25
"51","D","D05","2022-03-04",3.1630337,5,"LA1599","w",14
"56","D","D05","2022-03-08",5.85519393875427,5,"LA1599","w",18
"511","D","D05","2022-03-11",8.8741455,5,"LA1599","w",21
"516","D","D05","2022-03-15",14.708,5,"LA1599","w",25
"61","D","D06","2022-03-04",2.8931634,6,"LA1599","w",14
"66","D","D06","2022-03-08",6.17350292587656,6,"LA1599","w",18
"611","D","D06","2022-03-11",11.967993,6,"LA1599","w",21
"616","D","D06","2022-03-15",16.10498,6,"LA1599","w",25
"81","D","D08","2022-03-04",3.7900426,8,"LA1599","w",14
"76","D","D08","2022-03-08",13.3928805831218,8,"LA1599","w",18
"89","D","D08","2022-03-11",18.568487,8,"LA1599","w",21
"812","D","D08","2022-03-15",30.05117,8,"LA1599","w",25
"110","E","E01","2022-03-04",4.243959,1,"LA1692","w",14
"119","E","E01","2022-03-08",6.68693609117473,1,"LA1692","w",18
"128","E","E01","2022-03-11",8.132861,1,"LA1692","w",21
"134","E","E01","2022-03-15",12.90492,1,"LA1692","w",25
"32","E","E03","2022-03-04",3.9061968,3,"LA1692","w",14
"28","E","E03","2022-03-08",4.4336339323179,3,"LA1692","w",18
"214","E","E03","2022-03-11",6.4660745,3,"LA1692","w",21
"220","E","E03","2022-03-15",11.945694,3,"LA1692","w",25
"42","E","E04","2022-03-04",3.1555398,4,"LA1692","w",14
"38","E","E04","2022-03-08",3.73132358304687,4,"LA1692","w",18
"314","E","E04","2022-03-11",6.5094795,4,"LA1692","w",21
"320","E","E04","2022-03-15",12.181384,4,"LA1692","w",25
"52","E","E05","2022-03-04",3.4706962,5,"LA1692","w",14
"48","E","E05","2022-03-08",9.32730124125129,5,"LA1692","w",18
"414","E","E05","2022-03-11",15.054573,5,"LA1692","w",21
"420","E","E05","2022-03-15",23.600132,5,"LA1692","w",25
"62","E","E06","2022-03-04",2.2404196,6,"LA1692","w",14
"57","E","E06","2022-03-08",6.02874620857647,6,"LA1692","w",18
"512","E","E06","2022-03-11",11.132612,6,"LA1692","w",21
"517","E","E06","2022-03-15",20.011883,6,"LA1692","w",25
"72","E","E07","2022-03-04",4.137636,7,"LA1692","w",14
"67","E","E07","2022-03-08",9.39144594468972,7,"LA1692","w",18
"612","E","E07","2022-03-11",14.846674,7,"LA1692","w",21
"617","E","E07","2022-03-15",26.7369,7,"LA1692","w",25
"112","F","F01","2022-03-04",3.837825,1,"LA1687","w",14
"120","F","F01","2022-03-08",11.6790531762873,1,"LA1687","w",18
"129","F","F01","2022-03-11",12.153602,1,"LA1687","w",21
"135","F","F01","2022-03-15",24.25549,1,"LA1687","w",25
"23","F","F02","2022-03-04",4.7813673,2,"LA1687","w",14
"29","F","F02","2022-03-08",12.0291715098065,2,"LA1687","w",18
"215","F","F02","2022-03-11",10.822248,2,"LA1687","w",21
"221","F","F02","2022-03-15",19.406261,2,"LA1687","w",25
"33","F","F03","2022-03-04",4.3909492,3,"LA1687","w",14
"39","F","F03","2022-03-08",11.3329727687773,3,"LA1687","w",18
"315","F","F03","2022-03-11",18.304605,3,"LA1687","w",21
"321","F","F03","2022-03-15",27.751307,3,"LA1687","w",25
"43","F","F04","2022-03-04",1.974044,4,"LA1687","w",14
"49","F","F04","2022-03-08",8.31069176519845,4,"LA1687","w",18
"415","F","F04","2022-03-11",16.935068,4,"LA1687","w",21
"421","F","F04","2022-03-15",23.673664,4,"LA1687","w",25
"53","F","F05","2022-03-04",2.535132,5,"LA1687","w",14
"58","F","F05","2022-03-08",3.43672214279831,5,"LA1687","w",18
"513","F","F05","2022-03-11",4.998371,5,"LA1687","w",21
"518","F","F05","2022-03-15",11.764678,5,"LA1687","w",25
"63","F","F06","2022-03-04",1.3671769,6,"LA1687","w",14
"68","F","F06","2022-03-08",3.15992457424858,6,"LA1687","w",18
"613","F","F06","2022-03-11",6.0082335,6,"LA1687","w",21
"618","F","F06","2022-03-15",13.842687,6,"LA1687","w",25
"113","G","G01","2022-03-04",4.31708,1,"Money Maker","d",14
"123","G","G01","2022-03-08",4.31035362949273,1,"Money Maker","d",18
"130","G","G01","2022-03-11",5.5000877,1,"Money Maker","d",21
"136","G","G01","2022-03-15",6.680855,1,"Money Maker","d",25
"24","G","G02","2022-03-04",3.1760213,2,"Money Maker","d",14
"210","G","G02","2022-03-08",8.0451239943712,2,"Money Maker","d",18
"216","G","G02","2022-03-11",14.07285,2,"Money Maker","d",21
"222","G","G02","2022-03-15",20.384836,2,"Money Maker","d",25
"34","G","G03","2022-03-04",4.1785693,3,"Money Maker","d",14
"310","G","G03","2022-03-08",6.03701410743407,3,"Money Maker","d",18
"316","G","G03","2022-03-11",9.894095,3,"Money Maker","d",21
"322","G","G03","2022-03-15",17.00203,3,"Money Maker","d",25
"44","G","G04","2022-03-04",3.7423515,4,"Money Maker","d",14
"410","G","G04","2022-03-08",4.51270321697342,4,"Money Maker","d",18
"416","G","G04","2022-03-11",5.0816474,4,"Money Maker","d",21
"422","G","G04","2022-03-15",9.3039,4,"Money Maker","d",25
"54","G","G05","2022-03-04",2.7810113,5,"Money Maker","d",14
"59","G","G05","2022-03-08",4.84002163675137,5,"Money Maker","d",18
"514","G","G05","2022-03-11",7.2340546,5,"Money Maker","d",21
"519","G","G05","2022-03-15",9.632526,5,"Money Maker","d",25
"64","G","G06","2022-03-04",6.2283354,6,"Money Maker","d",14
"69","G","G06","2022-03-08",4.84002163675137,6,"Money Maker","d",18
"614","G","G06","2022-03-11",15.235065,6,"Money Maker","d",21
"619","G","G06","2022-03-15",18.977627,6,"Money Maker","d",25
"74","G","G07","2022-03-04",4.658629,7,"Money Maker","d",14
"78","G","G07","2022-03-08",9.56919570885081,7,"Money Maker","d",18
"712","G","G07","2022-03-11",12.225777,7,"Money Maker","d",21
"715","G","G07","2022-03-15",16.246758,7,"Money Maker","d",25
"84","G","G08","2022-03-04",4.3835344,8,"Money Maker","d",14
"87","G","G08","2022-03-08",9.56919570885081,8,"Money Maker","d",18
"810","G","G08","2022-03-11",15.20635,8,"Money Maker","d",21
"813","G","G08","2022-03-15",21.207785,8,"Money Maker","d",25
"93","G","G09","2022-03-04",3.0765674,9,"Money Maker","d",14
"95","G","G09","2022-03-08",5.1931784760548,9,"Money Maker","d",18
"97","G","G09","2022-03-11",9.104751,9,"Money Maker","d",21
"99","G","G09","2022-03-15",15.695484,9,"Money Maker","d",25
"101","G","G10","2022-03-04",5.5294785,10,"Money Maker","d",14
"103","G","G10","2022-03-08",8.61736462020095,10,"Money Maker","d",18
"105","G","G10","2022-03-11",12.490377,10,"Money Maker","d",21
"107","G","G10","2022-03-15",16.29299,10,"Money Maker","d",25
"114","G","G11","2022-03-04",3.8360581,11,"Money Maker","d",14
"1110","G","G11","2022-03-08",6.25629505969531,11,"Money Maker","d",18
"1112","G","G11","2022-03-11",11.501085,11,"Money Maker","d",21
"1114","G","G11","2022-03-15",16.085835,11,"Money Maker","d",25
